source,journal
Journal of Proteome Research,Journal of Proteome Research
Journal of Proteomics,Journal of Proteomics
Journal of Psychopharmacology,Journal of Psychopharmacology
Journal of Public Health,Journal of Public Health
Journal of Sleep Research,Journal of Sleep Research
Journal of Small Animal Practice,Journal of Small Animal Practice
Journal of Structural Biology,Journal of Structural Biology
Journal of the American Academy of Child and Adolescent Psychiatry,Journal of the American Academy of Child and Adolescent Psychiatry 
Journal of the American Chemical Society,Journal of the American Chemical Society
Journal of the American College of Cardiology,Journal of the American College of Cardiology
Journal of The American Society for Mass Spectrometry,Journal of The American Society for Mass Spectrometry
Journal of the Association for Research in Otolaryngology,Journal of the Association for Research in Otolaryngology
Journal of the History of the Behavioral Sciences,Journal of the History of the Behavioral Sciences
Journal of the International African Institute,Journal of the International African Institute
Journal of the International AIDS Society,Journal of the International AIDS Society
Journal of the National Cancer Institute,Journal of the National Cancer Institute
Journal of the Neurological Sciences,Journal of the Neurological Sciences
Journal of the Royal Society Interface,Journal of the Royal Society Interface
Journal of the Royal Society of Medicine Short Reports,Journal of the Royal Society of Medicine
"Journal of the Royal Society, Interface",Journal of the Royal Society Interface
Journal of the Royal Statistical Society: Series C (Applied Statistics),Journal of the Royal Statistical Society: Series C (Applied Statistics)
Journal of Transport Geography,Journal of Transport Geography
Journal of Viral Hepatitis,Journal of Viral Hepatitis
Journal of Virol,Journal of Virology
Journal of Virological Methods,Journal of Virological Methods
Journal of Virology,Journal of Virology
"Journal of Virology
",Journal of Virology
Journal of Vision,Journal of Vision
Journal of Visualized Experiements,Journal of Visualized Experiements
Journal of Visualized Experiments,Journal of Visualized Experiements
Journal of Visualized Experiments ,Journal of Visualized Experiements
Journal of Visulaized expermiments,Journal of Visualized Experiements
Kidney International,Kidney International
Lancet,The Lancet
Lancet ,The Lancet
Lancet Global Health,The Lancet Global Health
Lancet Infect Dis,The Lancet Infectious Diseases
Learning and Individual Differences,Learning and Individual Differences
Learning and Memory,Learning & Memory
Leukemia,Leukemia
Lipids in Health and Disease,Lipids in Health and Disease
Magnetic Resonance in Medicine,Magnetic Resonance in Medicine
Magnetic Resonance in Medicine ,Magnetic Resonance in Medicine
Malaria Journal,Malaria Journal
Malaria Journal ,Malaria Journal
Mammalian Genome,Mammalian Genome
Marten Child Nutr,Maternal and Child Nutrition
Maternal and Child Nutrition,Maternal and Child Nutrition
Math Biosci,Mathematical Biosciences
Matrix Biology,Matrix Biology
Maturitas,Maturitas
mBio,mBio
MCP (Molecular & Cellular Proteomics),Molecular & Cellular Proteomics
Mechanisms of Ageing and Development,Mechanisms of Ageing and Development 
Medical Anthropology,Medical Anthropology
Medical History,Medical History
Medical Humanities,Medical Humanities
Medical Law Review,Medical Law Review
Metabolomics,Metabolomics
Methods in Molecular Biology,Methods in Molecular Biology
Microbes and Infection,Microbes and Infection
Microbes Infect,Microbes and Infection
Microbiology,Microbiology
Mol Bio,Molecular Biology
Mol Biol and Evolution,Molecular Biology and Evolution
Mol Pharm,Molecular Pharmaceutics
Molecluar & Cellular Endocrinology,Molecular and Cellular Endocrinology
Molecular & Biochemical Parasitology,Molecular and Biochemical Parasitology
Molecular & Cellular Proteomics,Molecular and Cellular Proteomics
Molecular and Cellular Biochemistry,Molecular and Cellular Biochemistry
Molecular and Cellular Biology,Molecular and Cellular Biology
Molecular and Cellular Endocrinology,Molecular and Cellular Endocrinology
Molecular and Cellular Proteomics,Molecular and Cellular Proteomics
Molecular Biology,Molecular Biology
Molecular Biology and Evolution,Molecular Biology and Evolution
Molecular Brain,Molecular Brain
Molecular Cell,Molecular Cell
Molecular Endocrinology,Molecular Endocrinology
Molecular Genetics & Genomic Medicine,Molecular Genetics & Genomic Medicine
Molecular Genetics and Metabolism,Molecular genetics and metabolism
Molecular Immunology,Molecular Immunology
Molecular Membrane Biology,Molecular Membrane Biology
Molecular Microbiology,Molecular Microbiology
Molecular Pain,Molecular Pain
Molecular Phylogenetics and Evolution,Molecular Phylogenetics and Evolution
Movement Disorders,Movement Disorders
Movement Disordersï¿½,Movement Disorders
Mucosal Immunology,Mucosal Immunology
Muscle and Nerve,Muscle & Nerve
N Biotechnol.,New Biotechnology
Nanotechnology,Nanotechnology
National Academy of Sciences,National Academy of Sciences
NATURE COMMUNICATIONS,Nature Communications
Nature Neuroscience,Nature Neuroscience
Nature Scientific Reports,Nature Scientific Reports
Neglected Tropical Disease,Neglected Tropical Disease
Nephrology Dialysis and Transplantation,Nephrology Dialysis Transplantation
Nephrology Dialysis Transplantation,Nephrology Dialysis Transplantation
Nephron Physiology,Nephron Physiology
Neurobiology of Aging,Neurobiology of Aging
Neurobiology of Disease,Neurobiology of Disease
Neurobiology of Learning and Memory,Neurobiology of Learning and Memory
Neurochemistry International,Neurochemistry International
Neurodegenerative Diseases,Neurodegenerative Diseases
Neuroepidemiology,Neuroepidemiology
Neurogenetics,Neurogenetics
Neuroimage,Neuroimage
NeuroImage: Clinical,NeuroImage: Clinical
NeuroImage: Clinical ,NeuroImage: Clinical
Neuroinformatics,Neuroinformatics
Neurolmage,Neurolmage
Neurology,Neurology
Neuromolecular Medicine,Neuromolecular Medicine
Neuromuscular Disorders,Neuromuscular Disorders
Neuron,Neuron
Neuropathology and Applied Neurobiology,Neuropathology and Applied Neurobiology
Neuropharmacology,Neuropharmacology
Neuropharmacology ,Neuropharmacology
Neurophysiologia,Neuropsychologia
Neuropsychobiology,Neuropsychobiology
Neuropsychologia,Neuropsychologia
Neuropsychopharmacology,Neuropsychopharmacology
Neuroscience,Neuroscience
Neuroscience ,Neuroscience
Neuroscience and Behavioural Reviews,Neuroscience and Behavioural Reviews
Neuroscience Letters,Neuroscience Letters
Neuroscientist,Neuroscientist
Nicotine and Tobaco Research,Nicotine & Tobaco Research
Nitric Oxide,Nitric Oxide
NMR in Biomedicine,NMR in Biomedicine
Nucleic Acid Research,Nucleic Acids Research
Nucleic Acids Research,Nucleic Acids Research
Nucleic Acids Research ,Nucleic Acids Research
"Nucleic Acids Research
",Nucleic Acids Research
Nutrition Journal,Nutrition Journal
Obesity Reviews,Obesity Reviews
Oncogene,Oncogene
Oncotarget,Oncotarget
Open Choice,Open Choice
Ophthalmology,Ophthalmology
Optics Express,Optics Express
Organic & Biomolecular Chemistry,Organic and Biomolecular Chemistry
Orphanet Journal of Rare Diseases,Orphanet Journal of Rare Diseases
Osteoarthritis and Cartilage,Osteoarthritis and Cartilage
Osteoporosis International,Osteoporosis International
Oxford Journals,Oxford Journals
Oxford University Press,Oxford University Press
OXIDATIVE MEDICINE & CELLULAR LONGEVITY,Oxidative Medicine and Cellular Longevity
Pain,Pain
Parasit Vectors.,Parasites & Vectors
Parasite Immunology,Parasite Immunology
Parasites and Vectors,Parasites & Vectors
Parasitology,Parasitology
Parkinsonism and Related Disorders,Parkinsonism & Related Disorders
Parsitology,Parasitology
Pediatr Infect Dis J,The Pediatric Infectious Disease Journal
Pediatrics,Pediatrics
Personality and Individual Differences,Personality and Individual Differences
Pflugers Archiv,Pfl�gers Archiv - European Journal of Physiology
Pflugers Archive,Pfl�gers Archiv - European Journal of Physiology
Philos Trans R Soc London B Biol Sci,Philosophical Transactions of the Royal Society B
Philosophical Transactions B,Philosophical Transactions of the Royal Society B
"Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences",Philosophical Transactions of the Royal Society B
Photochemical & Photobiological Sciences,Photochemical and Photobiological Sciences
Physics in Biology and Medicine,Physics in Biology and Medicine
Plant Biotechnology Journal,Plant Biotechnology Journal
PLoS,PLOS One
PLOS  Computational Biology,PLOS Computational Biology
PLOS  ONE,PLOS One
PLoS 1,PLOS One
PLoS Biology,PLOS Biology
PLoS Computational Biology,PLOS Computational Biology
PLoS Genetics,PLOS Genetics
PLoS Medicine,PLOS Medicine
PLoS Medicine Journal,PLOS Medicine
PLoS Negected Tropical Diseases,PLOS Neglected Tropical Diseases
PLoS Neglected Tropical Diseases,PLOS Neglected Tropical Diseases
PLOS NTD,PLOS Neglected Tropical Diseases
PLoS One,PLOS One
PLoS Pathogens,PLOS Pathogens
PLosONE,PLOS One
Pmedicine-D-12-03130,PLOS Medicine
PNAS,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
PNAS (Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
PNAS USA,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
PNTD,PLOS Neglected Tropical Diseases
PONE-D12-17947,PLoS One
"Population, Space and Place","Population, Space and Place"
Postgraduate Medical Journal,Postgraduate Medical Journal
Preventive Medicine,Preventive Medicine
Proc Natl Acad Sci U S A.,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceddings of the National Academy of Sciences of USA,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceedings B,Proceedings B
Proceedings of Royal Society,Proceedings of the Royal Society
Proceedings of the national Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceedings of the National Academy of Sciences ,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceedings of the National Academy of Sciences (PNAS),Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceedings of the National Academy of Sciences of the United States of America ,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceedings of the National Academy of Sciences of the USA,Proceedings of the National Academy of Sciences of the United States of America (PNAS)
Proceedings of the Royal Society,Proceedings of the Royal Society
Proceedings of the Royal Society B: Biological Sciences,Proceedings of the Royal Society B: Biological Sciences
"Protein Engineering, Design and Selection (","Protein Engineering, Design and Selection"
Protein Expr Purif.,Protein Expression and Purification
Protein Science,Protein Science
Protemics,Protemics
Protist,Protist
Psychological Assessment,Psychological Assessment
Psychological Medicine,Psychological Medicine
Psychological Review,Psychological Review
Psychological Science,Psychological Science
"Psychological Trauma: Theory research, practice and policy","Psychological Trauma: Theory, Research, Practice, and Policy"
Psychopharmacology,Psychopharmacology
Public Health,Public Health
Public Health Ethics,Public Health Ethics
Public Health Nutrition,Public Health Nutrition
Public Library of Science,PLOS One
Public Library of Science ONE,PLOS One
Public Service Review,Public Service Review
Pulmonary Pharmacology & Therapeutics,Pulmonary Pharmacology & Therapeutics
Pyschological Medicine,Pyschological Medicine
QJM: An International Journal of Medicine,QJM: An International Journal of Medicine
Qualitative Research,Qualitative Research
Rapid Communications in Mass Spectrometry,Rapid Communications in Mass Spectrometry
"Reproduction(Cambridge, England)","Reproduction(Cambridge, England)"
Reproductive Medicine and Biology,Reproductive Medicine and Biology
Reproductive Sciences,Reproductive Sciences
RESEARCH IN VETERINARY SCIENCE,Research in Veterinary Science
Respiration,Respiration
RESPIRATORY RESEARCH,Respiratory Research
Rheumatology,Rheumatology
RNA,RNA
RNA Biology,RNA Biology
RSTB 2012.0145,RSTB
Schizophrenia Bulletin,Schizophrenia Bulletin
Schizophrenia Bulletin ,Schizophrenia Bulletin
Schizophrenia Research,Schizophrenia Research
Sci Rep,Scientific Reports
Science as Culture,Science as Culture
Science-Research,Science Research
Scientific Reports,Scientific Reports
Scientific Reports-11-00861B,Scientific Reports
Seizure,Seizure
Seminars in Immunopathology,Seminars in Immunopathology
Seminars in Oncology,Seminars in Oncology
Sensors,Sensors
Sex Transm Infect.,Sexually Transmitted Infections
Sexually Transmitted Infections,Sexually Transmitted Infections
Sexually Transmitted Infections                         ,Sexually Transmitted Infections
SGM Open Option,SGM Open Option
Social Cognitive and Affective Neuroscience,Social Cognitive and Affective Neuroscience
Social History of Medicine,Social History of Medicine
Social Psychiatry & Psychiatric Epidemiology,Social Psychiatry and Psychiatric Epidemiology
Social Psychiatry and Psychiatric Epidemiol,Social Psychiatry and Psychiatric Epidemiology
Social Psychiatry and Psychiatric Epidemiology,Social Psychiatry and Psychiatric Epidemiology
Social Science & Medicine,Social Science & Medicine
Social Science & Medicine ,Social Science & Medicine
Social Science and Medicine,Social Science & Medicine
Social Studies of Science,Social Studies of Science
Sociology of Health & Illness,Sociology of Health and Illness
South Asian History and Culture,South Asian History and Culture
Speech Language and Hearing Research,Speech Language and Hearing Research
Springer,Springer
Springer Science + Business Media,Springer Science + Business Media
Statistics in Medicine,Statistics in Medicine
Stem Cell Reports,Stem Cell Reports
Stem Cell Research,Stem Cell Research
Stem Cells,Stem Cells
Stem Cells and Development,Stem Cells and Development
STRUCTURE,STRUCTURE
Studies in History and Philosophy of Science Part C,Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences
Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences
Synapse,Synapse
Tetrahedron Letters,Tetrahedron Letters
The Americal Journal of Human Genetics,The American Journal of Human Genetics
The American Journal of Human Genetics,The American Journal of Human Genetics
The Biochemical Journal,Biochemical Journal
The British Journal of Psychiatry,British Journal of Psychiatry
The EMBO Journal,The EMBO Journal
The European Journal of Neuroscience,The European Journal of Neuroscience
The FASEB Journal,The FASEB Journal
The FEBS Journal,The FEBS Journal
The History of the Family,The History of the Family
The International Journal of Biochemistry & Cell Biology,The International Journal of Biochemistry & Cell Biology
The Journal of Abnormal Child Psychology and Psychiatry,The Journal of Abnormal Child Psychology and Psychiatry 
The Journal of Biological Chemistry,The Journal of Biological Chemistry
The Journal of Cognitive Neuroscience,The Journal of Cognitive Neuroscience
The Journal of Immunology,The Journal of Immunology
The Journal of Infectious Diseases,The Journal of Infectious Diseases
The Journal of investigative dermatology,The Journal of investigative dermatology
The Journal of Neurophysiology,The Journal of Neurophysiology
The Journal of Neuroscience,The Journal of Neuroscience
The Journal of Pathology,The Journal of Pathology
The Journal of Physiology,The Journal of Physiology
The Journal of Steroid Biochemistry & Molecular Biology,The Journal of Steroid Biochemistry and Molecular Biology
The Journal of Visualized Experiments,The Journal of Visualized Experiments
The Lancet,The Lancet
The Lancet Neurology,The Lancet Neurology
The Vet. Journal,The Veterinary Journal
Theranostics,Theranostics
Thorax,Thorax
THORAX an international journal for Respiratory Medicine,Thorax an International Journal of Respiratory Medicine
Ticks and Tick-borne Diseases,Ticks and Tick-borne Diseases
Tissue Engineering: part A,Tissue Engineering: part A
Traffic,Traffic
Transactions of the Royal Society of Tropical Medicine and Hygiene,Transactions of the Royal Society of Tropical Medicine and Hygiene
Translational Psychiatry,Translational Psychiatry
Trends in Cognitive Science,Trends in Cognitive Science
Trends in Genetics,Trends in Genetics
Trends in Microbiology,Trends in Microbiology
Trends in Molecular Medicine,Trends in Molecular Medicine
Trends in Neuroscience,Trends in Neuroscience
Trends in Neurosciences,Trends in Neurosciences
Trends in Parasitology,Trends in Parasitology
Trials,Trials
Trials ,Trials
Trop Med Int Health,Trop Med Int Health
Tropical Animal Health & Production,Tropical Animal Health & Production
Tropical Medicine and International Health,Tropical Medicine and International Health
Tuberculosis,Tuberculosis
Urban History,Urban History
Urolithiasis,Urolithiasis
Vaccine,Vaccine
Vascular Pharmacology,Vascular Pharmacology
Veterinary Microbiology,Veterinary Microbiology
Veterinary Parasitology,Veterinary Parasitology
Veterinary Record,Veterinary Record
Veterinary Research,Veterinary Research
Virology,Virology
Virology Journal,Virology Journal
Virus Research,Virus Research
Vision Research,Vision Research
Visual Neuroscience,Visual Neuroscience
Zoonoses and Public Health,Zoonoses and Public Health
