,PMID,PMCID,MappedPublisher,Journal_Title,Article_Title,COST
266,,PMC3348006,Biomed Central,Cost Effectiveness and Resource Allocation,Cost and cost effectiveness of long-lasting insecticide-treated bed nets - a model-based analysis,£1302.00
267,,,Biomed Central,Genome Medicine,Targeted next-generation sequencing of head and neck squamous cell carcinoma identifies novel genetic alterations in HPV+ and HPV- tumors,£1728.90
268,,PMC3468404,Biomed Central,Malaria Journal,Sub-optimal delivery of intermittent preventive treatment for malaria in pregnancy in Nigeria: influence of provider factors.,£1113.50
269,,PMC3691584,Biomed Central,Malaria Journal,Tools for mass screening of G6PD deficiency: validation of the WSTB/1-methoxy-PMS enzymatic assay in Uganda.,£1236.00
270,,PMC3605132,Biomed Central,Malaria Journal,Measurement of Plasmodium falciparum transmission intensity using serological cohort data from Indonesian schoolchildren,£1268.70
271,,PMC3502539,Biomed Central,Malaria Journal,Rationale for short course primaquine in Africa to interrupt malaria transmission,£1396.20
272,,PMC3706230,Biomed Central,Orphanet Journal of Rare Diseases,SURF1 deficiency: a multi-centre natural history,£1280.10
273,,PMC3723516,Biomed Central,Parasites and Vectors,Monitoring and evaluating the impact of national schoolbased deworming in Kenya.,£1233.00
274,,PMC3686680,Biomed Central,Trials,The impact of a novel molecular TB diagnostic system in patients at high risk of TB mortality in rural South Africa.,£1130.40
275,,PMC3495012,Biomed Central,Trials,Lovastatin for adult patients with dengue: protocol for a randomised controlled trial.,£1156.50
276,,PMC3041663,Biomed Central,Trials,Cluster randomised trial in the general practice research database: 2. Secondary prevention after first stroke (eCRT STUDY): study protocol for a randomised controlled trial,£1350.00
277,,PMC3668259,Biomed Central,Trials,Community resource centres to improve the health of women and children in Mumbai slums: study protocol for a cluster randomized controlled trial,£999999.00
278,,PMC3686250,BMJ Publishing Group,BJOPHTHALMOL,Near-infrared transillumination photography to detect anterior uveal melanomas through Black IOLs,£2340.00
279,,PMC3521646,BMJ Publishing Group,BMJ,Heat and risk of myocardial infarction: hourly level case-crossover analysis of MINAP database,£3000.00
280,,,BMJ Publishing Group,BMJ,"Completeness and diagnostic validity of recording acute myocardial infarction events in primary care, hospital care, disease registry, and national mortality records: cohort study.",£3600.00
281,,PMC3612795,BMJ Publishing Group,BMJ,Study protocol for a randomised controlled double-blinded trial of the dose-dependent efficacy and safety of primaquine  for clearance of gametocytes in children with uncomplicated falciparum malaria in Uganda.,£810.00
282,,PMC3533021,BMJ Publishing Group,BMJ Open,Weekend Admission as an Independent Predictor of Mortality: An analysis of Scottish Hospital Admissions,£1500.00
283,,PMC3657677,BMJ Publishing Group,BMJ Open,Development of an economic evaluation of diagnostic strategies: the case of monogenic diabetes,£1620.00
284,,PMC3731707,BMJ Publishing Group,BMJ Open,The Small Eye Phenotype in the EPIC-Norfolk Eye Study: Prevalence and Visual Impairment in Microphthalmos and Nanophthalmos,£1652.40
285,,PMC3752053,BMJ Publishing Group,BMJ Open,How active are our children? Findings from the Millennium Cohort Study,£1652.40
286,,PMC3632971,BMJ Publishing Group,British Journal of Ophthalmology,"Eyescores : An open platform for secure electronic data and photographic evidence  collection in ophthalmological field studies
",£2040.00
287,,PMC3786664,BMJ Publishing Group,British Journal of Opthalmology,In vivo confocal microscopy and histopathology of the conjunctiva in trachomatous scarring and normal tissue: a systematic comparison,£2340.00
288,3489107,,BMJ Publishing Group,British Medical Journal,Opiate substitution treatment and HIV transmission in people who inject drugs: a systematic review and meta-analysis,£3000.00
289,,PMC3724198,BMJ Publishing Group,Frontline Gastroenterology,Measurement of faecal calprotectin and lactoferin in inflammatory bowel disease,£720.00
290,,PMC3724199,BMJ Publishing Group,Frontline Gastroenterology,Developing an endoscopic mucosal resection (EMR) service in a district general hospital,£720.00
291,,PMC3730937,BMJ Publishing Group,Frontline Gastroenterology,Sexually Transmitted Infections manifestering as proctitis,£720.00
292,,PMC3756517,BMJ Publishing Group,Journal of Clinical Pathology,"Development of a robust protocol for gene expression analysis using formalin-fixed, paraffin-embedded liver transplant biopsy specimens",£2340.00
293,,,BMJ Publishing Group,Journal of Epidemiology & Community Health,"Socioeconomic inequalities in all-cause mortality in the Czech Republic, Russia, Poland and Lithuania in the 2000s: findings from the HAPIEE study",£1989.00
294,,,BMJ Publishing Group,Journal of Medical Ethics,"Elective ventilation for organ donation: law, policy and public ethics",£2040.00
295,,,BMJ Publishing Group,Journal of Medical Genetics,Combined exome and whole-genome sequencing identifies mutations in ARMC4 as a cause of primary ciliary dyskinesia with defects in the outer dynein arm,£1989.00
296,,PMC3756527,BMJ Publishing Group,Journal of Medical Genetics,Can the diagnosis of NF1 be excluded clinically? A lack of Pigmentary findings in families with spinal neurofibromatosis demonstrates a limitation of clinical diagnosis,£2340.00
297,,,BMJ Publishing Group,"Journal of Neurology, Neurosurgery & Psychiatry",A clinical and family history study of Parkinson's disease in heterozygous glucocerebrosidase mutation carriers,£2040.00
298,,PMC3646288,BMJ Publishing Group,"Journal of Neurology, Neurosurgery & Psychiatry",The Val158Met COMT polymorphism is a modifier of the age at onset in Parkinson's disease with a sexual dimorphism,£2040.00
299,,PMC3623030,BMJ Publishing Group,"Journal of Neurology, Neurosurgery and Psychiatry",Olfactory impairment in posterior cortical atrophy,£2040.00
300,,PMC3749517,BMJ Publishing Group,Sexually Transmitted Infections,Trichomonas vaginalis virulence factors: an integrative overview,£2340.00
301,,PMC3586185,BMJ Publishing Group,BMJ,Estimating the relative contribution of parasitic infections and nutrition for anaemia among school-aged children in Kenya.,£1500.00
302,,PMC3551213,BMJ Publishing Group,Gut,A basal gradient of Wnt and stem-cell number influences regional tumour distribution in human and mouse intestinal tracts.,£2040.00
303,21903599,,BMJ Publishing Group,Archives of Disease in Childhood,What causes attention deficit hyperactivity disorder ?,£2040.00
304,24061777,,BMJ Publishing Group,Archives of Disease in Childhood,Sleep patterns in children with autistic spectrum disorders: a prospective cohort study,£2340.00
305,,PMC3624963,BMJ Publishing Group,BMJ,Orlistat and the risk of acute liver injury: a self-controlled case-series study in UK general practice research database.,£3600.00
306,,PMC3612744,BMJ Publishing Group,BMJ Open,Predictors of non-response in a uk-wide cohort study of children's accelerometer-determined physical activity using postal methods,£1500.00
307,,PMC3752057,BMJ Publishing Group,BMJ OPEN,A qualitative study comparing experiences of the surgical safety checklist in hospitals in high- and low-income countries,£1620.00
308,,,BMJ Publishing Group,BMJ QUALITY AND SAFETY,Culture and behaviour in the English National Health Service: overview of lessons from a large multi-method study,£1950.00
309,23665989,,BMJ Publishing Group,Gut,The paradox of NKp46+ NK cells:  drivers of severe HCV-induced pathology but in vivo resistance to IFNa treatment,£2340.00
310,,,BMJ Publishing Group,Gut,Obese patients after gastric bypass surgery have lower brain hedonic responses to food than after gastric banding,£2340.00
311,,,BMJ Publishing Group,Heart,South Asians and coronary disease: Is there discordance between effects on incidence and prognosis?,£2040.00
312,3596772,,BMJ Publishing Group,Journal of Epidemiology & Community Health,"Trajectories of Socioeconomic Inequalities in health, behaviours and academic achievement across childhood and adolescence",£2040.00
313,,PMC3812898,BMJ Publishing Group,Journal of Medical Ethics,Moral responsibility for (un)healthy behaviour,£2040.00
314,,,BMJ Publishing Group,Medical Humanities,"Ideology and Disease Identity: The Politics of Rickets, 1929 - 1982.",£2340.00
315,,PMC3730896,BMJ Publishing Group,Sexually Transmitted Infections,Estimating the resources required in the roll-out of universal access to antiretroviral therapy in Zimbabwe,£2040.00
316,,PMC3446777,BMJ Publishing Group,Thorax,Transient receptor potential channels mediate the tussive response to prostaglandin E2 and bradykinin,£2040.00
317,,PMC3534261,BMJ Publishing Group,Thorax,IL-25 drives remodeling in allergic airways disease induced by house dust mite,£2040.00
318,23698510,PMC3812900,BMJ Publishing Group,Sex Transm Infect.,"Cross-sectional survey of treatment practices for urethritis at pharmacies, private clinics and government health facilities in coastal Kenya: many missed opportunities for HIV prevention.",£1700.00
319,,PMC3576918,BMJ Publishing Group,Archives of Disease in Childhood, Psychometric profile of children with auditory processing disorder (APD) and children with dyslexia,£2040.00
320,,PMC3404183,BMJ Publishing Group,BMJ,"Use of risk assessment instruments to predict violence & antisocial behavior in 73 samples involving 24,827 people; systematic review and meta-analysis",£3000.00
321,23516272,PMC3612817,BMJ Publishing Group,BMJ Open,"The EPIC-Norfolk Eye Study: rationale, methods and a cross-sectional analysis of visual impairment in a population-based cohort",£1620.00
322,3752052,,BMJ Publishing Group,BMJ open,Cost-effectiveness of HCV case-finding for people who inject drugs via dried blood spot testing in specialist addiction services and prisons,£1680.00
323,23761410,PMC3756433,BMJ Publishing Group,Journal of Epidemiology and Community Health,Economic determinants of diet in older adults: systematic review,£1755.00
324,,PMC3623037,BMJ Publishing Group,"Journal of Neurology, Neurosurgery and Psychiatry",The Addenbrooke's cognitive examination for the differential diagnosis and longitudinal assessment of patients with Parkinsonian disorders,£2040.00
325,,PMC3646287,BMJ Publishing Group,"Journal of Neurology, Neurosurgery and Psychiatry",The long-term safety and efficacy of bilateral transplantation of human fetal striatal tissue in patients with mild to moderate Huntingdons disease,£2040.00
326,23924687,PMC3841754,BMJ Publishing Group,Postgraduate Medical Journal,Operator training requirements and diagnostic accuracy of Fibroscan in routine clinical practice,£2040.00
327,,PMC3664370,BMJ Publishing Group,Postgraduate Medical Journal,Antithrombotic therapy in atrial fibrillation: aspirin is rarely the right choice,£2040.00
328,,PMC3786614,BMJ Publishing Group,Veterinary Record,Proactive dairy cattle disease control in the UK: veterinary surgeons' involvement and associated characteristics,£2040.00
329,,,BMJ Publishing Group,BMJ,Could NICE guidance on the choice of blood pressure lowering drugs be simplified? ,£3000.00
330,,,BMJ Publishing Group,BMJ,Improving vascular health: are pills the answer?,£3000.00
331,,,BMJ Publishing Group,BMJ,Pragmatic randomised trials using routine electronic health records: putting them to the test.,£3000.00
332,,,BMJ Publishing Group,BMJ,Translating genomics into improved healthcare.,£3000.00
333,23709760,PMC3756442,BMJ Publishing Group,THORAX an international journal for Respiratory Medicine,Metformin reduces airway glucose permeability & hyperglycaemia-induced Staphylococcus aureus load independent of effects on blood glucose,£2340.00
334,,,Brill Publishers,European Journal of Health Law,Adding value? : EU governance of organ donation and transplantation,£779.72
335,3703578,,British Medical Journal,BMJ open,Psychosocial and Educational Outcomes of Weight Faltering in Infancy in ALSPAC,£1275.00
336,,PMC3534254,British Medical Journal,"Journal of Neurology, Neurosurgery and Psychiatry",Flavour identification in frontotemporal lobar degeneration,£2040.00
337,23931322,PMC3736666,Biophysical Society,Biophysical Journal,Aggregation modulators interfer with membrane interactions of Beta2 microglobulin fibrils,671.04$
338,23166325,,Cadmus Journal Services,Jnl Biological Chemistry,Distinct roles in autophagy and importance in infectivity of the two ATG4 cysteine peptidases of Leishmania major,£1035.00
339,23554485,PMC3664272,Cadmus Journal Services,Journal of Neuroscience,Triple cysteine module within M-type K+ channels mediates reciprocal channel modulation by nitric oxide and reactive oxygen species,£1283.00
340,,PMC3330789,Cadmus Journal Services,Heart and Circulatory Physiology,Altered sinoatrial node function and intra-atrial conduction in murine gain-of-function Scn5a+/?KPQ hearts suggest an overlap syndrome.,£1349.18
341,23264619,PMC3576117,Cadmus Journal Services,Journal of Biological Chemistry,Critical role for an acidic amino acid region in platelet signalling by the hemITAM (hemi-Immunoreceptor Tyrosine-based Activation Motif) containing receptor CLEC-2 (C-type Lectin receptor-2),£1804.00
342,23089748,PMC3535899,Cadmus Journal Services,Antimicobial Agents and Chemotherapy,Elevated chitin content reduces the susceptibility of Candida species to caspofungin,£1831.18
343,23115042,PMC3536122,Cadmus Journal Services,Infection and Immunity,"Growth of Candida albicans celles on the physiologically relevent carbon source, lactate, affects their recognition and phagocytosis by immune cells",£1237.76
344,3421817,,Cadmus Journal Services,J Clin Microbiol,Resolution of a meningococcal disease outbreak from whole-genome sequence data with rapid web-based analysis methods,£1250.66
345,3415497,,Cadmus Journal Services,JOURNAL OF BACTERIOLOGY,"THE ESCHERICHIA COLI SMC COMPLEX, MUKBEF, SHAPES NUCLEOID ORGANISATION INDEPENDENTLY DNA REPLICATION",£2082.11
346,,PMC3697714,Cadmus Journal Services,Journal of Clinical Microbiology,Development and evaluation of a next-generation digital PCR diagnostic assay for ocular chlamydia trachomatis infections.,£1289.32
347,23232717,PMC3520108,Cadmus Journal Services,mBio,The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,£1355.13
348,,PMC3819183,Cambridge University Press,International Psychogeriatrics,Covariant perfusion patterns provide clues to the origin of cognitive fluctuations and attentional dysfunctional in dementia with Lewy bodies,£2034.00
349,,PMC3178871,Cambridge University Press,Parasitology,Treatment with anthelminthics during pregnancy: what gains and what risks for the mother & child?,£1800.00
350,PMID24069883,,Cambridge University Press,Medical History,The Research Council System and The Politics of Medical and Agricultural Research for the British Colonial Empire 1940-1952,£1020.00
351,PMID24069886,,Cambridge University Press,Medical History,"A Textbook Pattern? Malarai Eradication and Control, Jamaica 1910-1965",£1020.00
352,PMID24069913,,Cambridge University Press,Medical History,International health and the limits of its global influence: Bhutan and the worldwide smallpox eradication,£2034.00
353,,,Cambridge University Press,Ageing & Society,Who cares? Implications of care-giving and -receiving by HIV-infected or -affected older,£1695.00
354,,,Cambridge University Press,British Journal for the History of Science,"Writing, printing, speaking: Rhesus blood-group genetics and nomenclatures in the mid-twentieth century",£1695.00
355,,PMC3607278,Cambridge University Press,British Journal of the History of Science,"Experimental physiology, Everest and oxygen: from the ghastly kitchens to the gasping lung",£850.00
356,3487483,,Cambridge University Press,Epidemiology and Infection,Molecular epidemiology of human campylobacter jejuni shows association between seasonal and international patterns of disease,£1800.00
357,,PMC3757920,Cambridge University Press,Epidemiology and Infection,Tracking sickness through social networks â the practical use of social network mapping in supporting the management of an E.coli O157 outbreak in a primary school in London,£2034.00
358,,PMC3219211,Cambridge University Press,Expert Reviews in Molecular Medicine,"Pharmacological targets in the ubiquitin system offer new ways of treating cancer, neurodegenerative disorders and infectious diseases.",£999999.00
359,,,Cambridge University Press,International Journal of Law in Context,"Capacity, value neutrality and the ability to consider the future",£1020.00
360,,,Cambridge University Press,Jnl of the International Neuropsychological Society,Effects of Maternal Worm Infections and Anthelminthic Treatment during Pregnancy on Infant Motor and Neurocognitive Functioning,£2034.00
361,3566749,,Cambridge University Press,Medical History,"'I've Never Found Doctors to be a Difficult Bunch': Doctors, Managers and NHS Reorganisations in Manchester and Salford, 1948-2007",£510.00
362,,PMC3483757,Cambridge University Press,Medical History,Mrs Killer and Dr Crook: birth attendants and birth outcomes in early twentieth century Derbyshire,£510.00
363,,PMC3179331,Cambridge University Press,Parasitology,"Screening trematodes for novel intervention targets: a proteomic and immunological comparison of Schistosoma haematobium, Schistosoma bovis and Echinostoma caproni.",£1500.00
364,,PMC3021922,Cambridge University Press,Parasitology,Acquired immune heterogeneity and its sources in human helminth infection.,£1800.00
365,23734876,,Cambridge University Press,Parasitology,Determination of antiprotozoal drug mechanisms by metabolomics approaches,£2034.00
366,,PMC3761323,Cambridge University Press,Parasitology,Trichuris muris research revisited: A journey through time,£2034.00
367,23931634,,Cambridge University Press,Parasitology,Target-Based drug discovery for human African Trypanosomiasis: Selection of Molecular Target and Chemical Matter,£2034.00
368,,PMC3544544,Cambridge University Press,Psychological Medicine,"Patients beliefs about the causes, persistence and control of psychotic experiences predict take-up of effective cognitive behaviour therapy for psychosis",£1800.00
369,,PMC3458429,Cambridge University Press,Public Health Nutrition,Prevalence and risk factors for self-reported diabetes among adult men and women in India: findings from a national cross-sectional survey.,£2034.00
370,,PMC3488812,Cambridge University Press,Pyschological Medicine,A Comparison of the Clinical Characteristics of Women with Recurrent Major Depression with and without Suicidal Symptomolgy,£1800.00
371,,,Cambridge University Press,Urban History,"Leisure, economy and colonial urbanism: Darjeeling, 1835-1930",£2034.00
372,,PMC3472342,Cambridge University Press,Visual Neuroscience,Masking within and across visual dimensions: Psychophysical evidence for perceptual segregation of color and motion,£2034.00
373,PMID22972952,PMC3544867,Cadmus Journal Services,Journal of Neurophysiology,Intra and interhemispheric connectivity between face-selective regions in the human brain,£1565.06
374,,PMC3738821,Elsevier Publishing company,American Journal of Human Genetics,ELAC2 mutations cause a mitochondrial RNA processing defect associated with hypertrophic cardiomyopathy,£2418.34
375,,PMC3757743,Elsevier Publishing company,Stem Cell Reports,Rebuilding pluripotency from primordial germ cells,£2340.55
376,3589712,,Cenveo Publisher Services,Journal of Clinical Endocrinology and Metabolism,Analysis of Body Composition in Individuals With High Bone Mass Reveals a Marked Increase in Fat Mass in Women But Not Men,£2310.83
377,23785211,PMC3754066,Cenveo Publisher Services,Journal of Virol,Acute CD8 Tcell response tat select for escape variants are needed to control live attenuted SIV,£1604.82
378,,PMC3503237,Co-Action Publishing,Journal of the International AIDS Society,Quantifying losses from the care pathway for people living with infection in sub-Saharan Africa.,£1370.63
379,,PMC3418585,Cold Spring Harbor Laboratory Press,Genes & Development,"Autoregulation of TDP-43 mRNA levels involves interplay between transcription, splicing and alternative polyA site selection",£1501.44
380,3533127,,Cold Spring Harbor Laboratory Press,Learning and Memory,The medial dorsal thalamic nucleus and the medial prefrontal cortex of the rat function together to support associative recognition and recency but not item recognition,£1519.71
381,,PMC3489999,Cold Spring Harbor Laboratory Press,Genes & Development,Brr2p-mediated conformational rearrangements in the spliceosome during activation and substrate repositioning,£1267.34
382,,PMC3460180,Cold Spring Harbor Laboratory Press,Genome Research,Copy number variation leads to considerable diversity for B but not A haplotypes of the human KIR genes encoding NK cell receptors,£1491.24
383,,PMC3561869,Cold Spring Harbor Laboratory Press,Genome Research,"Differentially expressed, variant U1 snRNAs regulate gene expression in human cells",£1548.77
384,,PMC3504671,Cold Spring Harbor Laboratory Press,RNA,Kinetic analysis of pre-ribosome structure in vivo,£910.05
385,,PMC3527725,Cold Spring Harbor Laboratory Press,RNA,The association of an La module with the PABP-interacting motif PAM2 is a recurrent evolutionary process that led to the neofunctionalization of La-related proteins,£1107.57
386,24046445,PMC3828593,Company of Biologists Ltd,Journal of Cell Science,A new kind of membrane-tethered eukaryotic transcription factor that shares an auto-proteolytic processing mechanism with bacteriophage tail-spike proteins,£2400.00
387,3558749,,Company of Biologists Ltd,Biology Open,Highly efficient bi-allelic mutation rates using TALENs in Xenopus tropicalis,£1044.00
388,,PMC3711043,Company of Biologists Ltd,Biology Open,Olfactory ensheathing glia are required for embryonic olfactory axon targeting and the migration of gonadotrophin-releasing hormone neurons,£1044.00
389,,,Company of Biologists Ltd,Biology Open,Nrf2 impacts cellular bioenergetics by controlling substrate availability for mitochondrial respiration,£1044.00
390,3509734,,Company of Biologists Ltd,Development,Dishevelled limits Notch signalling through inhibition of CSL,£1044.00
391,3621487,,Company of Biologists Ltd,Development,A Cul-3-BTB ubiquitylation pathway regulates junctional levels and asymmetry of core planar polarity proteins,£1620.00
392,,PMC3152927,Company of Biologists Ltd,Development,VEGF signalling controls GnRH neuron survival via NRP1 independently of KDR and blood vessels,£1620.00
393,,PMC3699283,Company of Biologists Ltd,Development,Syndecan 4 interacts genetically with Vangl2 to regulate neural tube closure and planar cell polarity,£2400.00
394,,PMC3737725,Company of Biologists Ltd,Development,The Nm23-H1/H2 homolog NDK-1 is required for full activation of Ras signaling in C. elegans,£2400.00
395,23861059,,Company of Biologists Ltd,Development,Cell and tissue dynamics during Tribolium castaneum embryogenesis revealed by versatile fluorescence labeling approaches,£2400.00
396,,,Company of Biologists Ltd,Development,Eph/Ephrin signalling maintains the segregation of eye field cells from adjacent neural plate territories during forebrain morphogenesis,£2400.00
397,,PMC3603409,Company of Biologists Ltd,Developmental Cell,Limk2 mediates semaphorin signalling in cortical interneurons migrating through the subpallium,£1044.00
398,3597032,,Company of Biologists Ltd,Disease Models and Mechanisms,Inflammation drives wound hyperpigmentation in zebrafish by recruiting pigment cells to sites of tissue damage,£1620.00
399,23704353,PMC3730248,Company of Biologists Ltd,J Cell Sci.,A dual role for the ?PS integrin myospheroid in mediating Drosophila embryonic macrophage migration.,£2400.00
400,3613178,,Company of Biologists Ltd,Journal of Cell Science,Positional editing of transmembrane domains during ion channel assembly,£1620.00
401,3613179,,Company of Biologists Ltd,Journal of Cell Science,Get3 is a holdase chaperone and moves to deposition sites for aggregated proteins when membrane targeting is blocked,£1620.00
402,3757329,,Company of Biologists Ltd,Journal of Cell Science,The antagonistic modulation of Arp2/3 activity by N-WASP/WAVE2 and PICK1 defines dynamic changes in astrocyte morphology,£2400.00
403,,,Company of Biologists Ltd,Journal of Cell Science,Expression of OA1 limits the fusion of a subset of MVBs with lysosomes; a mechanism likely involved in the initial biogenesis of melanosomes,£2400.00
404,,PMC3533396,Company of Biologists Ltd,Journal of Cell Science,PKA isoforms coordinate mRNA fate during nutrient starvation ,£999999.00
405,23606739,,Company of Biologists Ltd,Journal of Cell Science,Cell wall stress induces alternative fungal cytokinesis and septation strategies,£2000.00
406,23570314,PMC3634610,Copyright Clearace Center,International Reviews of Immunology,C-type lectin-like receptors of the Dectin-1 cluster: ligands and signalling pathways,£2775.23
407,,PMC3687256,Cold Spring Harbor Laboratory Press,Learning and Memory,Schema-driven facilitation of new hierarchy learning in the transitive inference paradigm,£1314.81
408,,,Cambridge University Press,Journal of the International African Institute,"Stuck in ruins, or up and coming?",£2034.00
409,,,Cambridge University Press,Journal of the International African Institute,Tarmacking in the mellinum city: spatial and temporal  tralectories of empowerment in Kenya.,£2034.00
410,,,Cambridge University Press,Journal of the International African Institute,"Pharmacy, money and public health in Dakar.",£999999.00
411,,,Cambridge University Press,Psychological Medicine,The methods and outcomes of cultural adaptations of psychological treatments for depressive disorder.,£2034.00
412,,,Cambridge University Press,Psychological Medicine,Depression is related to an absence of optimistically biased belief about future life events,£2034.00
413,,,Cambridge University Press,Psychological Medicine,Atypical Interference effect of action observation in autism spectrum conditions,£2034.00
414,,PMC3733066,Cambridge University Press,Public Health Nutrition,"Maternal HIV infection and other factors associated with growth outcomes of HIV-uninfected infants in Entebbe, Uganda",£2034.00
415,23994477,,Dartmouth Journal Services,Cell Reports,Localization-Dependent and -Independent Roles of SLX4 in Regulating Telomeres,£3154.01
416,,PMC3545681,Dartmouth Journal Services,American Journal for Clinical Nutrition,Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.,£1891.19
417,,PMC3652920,Dartmouth Journal Services,American Journal of Clinical Nutrition,DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women,£1953.76
418,,PMC3644702,Dartmouth Journal Services,Cell Press - Cell Reports,Definition of RNA Polymerase ii CoTC Terminator Elements in the Human Genome,£3884.40
419,,PMC3607254,Dartmouth Journal Services,Cell Reports,Tcf15 primes pluripotent cells for deifferentiation,£3242.21
420,,PMC3675675,Dartmouth Journal Services,Cell Reports,A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.,£3882.41
421,,PMC3607223,Dartmouth Journal Services,Cell Reports,Structure of a pestivirus envelope glycoprotein e2 clarifies its role in cell entry,£3906.55
422,,PMC3617368,Dartmouth Journal Services,Cell Reports,Inhibition of mitochondrial aconitase by succination in fumarate hydratase deficiency.,£3967.99
423,,PMC3778892,Dartmouth Journal Services,Cell Reports,c-Myc Induced Sebaceous Gland Differentiation is Controlled by an Androgen Receptor/p53 Axis,£3995.74
424,3564995,,Dartmouth Journal Services,"G3: Genes, Genomes, Genetics",How to design a genetic mating scheme: a basic training package for Drosophila genetics,£1230.67
425,,PMC2881129,Dartmouth Journal Services,GENETICS,Distinct regulation of Mlh1p heterodimers in meiosis and mitosis in Saccharomyces cerevisae,£790.93
426,,PMC3584010,Dartmouth Journal Services,Genetics,Estimating selection coefficients in spatially structured populations from time series data of allele frequencies.,£1197.72
427,23319734,PMC3672848,Dartmouth Journal Services,J Immunol,Mitochondrial superoxide generation enhances P2X7R-mediated loss of cell surface CD62L on naive human CD4+ T lymphocytes.,£772.13
428,23475217,PMC3619528,Dartmouth Journal Services,Journal of Immunology,Candida albicans primes the Toll-like receptor cytokine responses through a dectin-1/Ref-1-mediated pathway,£1932.69
429,2766312,,Dartmouth Journal Services,Proceedings of the National Academy of Sciences,Analysis of Synthetic Lethality Reveals Genetic Interactions Between the GTPase Snu114p and snRNAs in the Catalytic Core of the Saccharomyces cerevisiae Spliceosome,£1241.10
430,,PMC3511132,Dartmouth Journal Services,Proceedings of the National Academy of Sciences,SGTA antagonizes BAG6-mediated protein triage,£603.42
431,3704016,,Dartmouth Journal Services,Proceedings of the National Academy of Sciences,"Inositol kinase and its product accelerate wound healing by modulating calcium levels, Rho GTPases, and F-actin assembly",£660.59
432,,PMC3607403,Dartmouth Journal Services,The Journal of Immunology,GRB2-Mediated Recruitment of THEMIS to LAT Is Essential for Thymocyte Development,£2025.65
433,3549224,,Dartmouth Journal Services,J Immunol,Chronic Exposure to Plasmodium falciparum Is Associated with Phenotypic Evidence of B and T Cell Exhaustion,£1926.45
434,,PMC3808153,Dartmouth Journal Services,Cell Reports,The 5S RNP couples ribosome biogenesis to the home,£3712.80
435,3738233,,Dartmouth Journal Services,Journal of Nutrition,Genetic variants influencing biomarkers of nutrition are not associated with cognitive capability in middle-aged and older adults,£2594.13
436,3549118,,Dartmouth Journal Services,PNAS,CTLA-4 controls the thymic development of both conventional and regulatory T cells through modulation of the TCR repertoire,£625.00
437,23672768,,Elsevier Publishing company,Neuroimage,Gearing up for action: attentive tracking dynamically tunes sensory and motor oscillations in the alpha and beta band,£1758.89
438,23046981,,Elsevier Publishing company,Neuroimage,Good practice for conducting and reporting MEG research,£2345.00
439,,PMC3378987,Elsevier Publishing company,Academy of Nutrition and Dietetics,Parent support and parent mediated behaviours are associated with children's sugary beverage consumption,£2379.54
440,23907068,PMC3837358,Elsevier Publishing company,American Journal of Geriatric Psychiatry,The epidemiology of delirium: challenges and opportunities for population studies,£2404.53
441,,PMC3516598,Elsevier Publishing company,American Journal of Human Genetics,Mutations in ANO3 cause dominant cranio-cervical dystonia: ion channel implicated in pathogenesis,£2296.94
442,,PMC3769921,Elsevier Publishing company,American Journal of Human Genetics,Mutations in FBXL4 cause mitochondrial encephalopathy and a disorder of mitochondrial DNA maintenance,£2334.41
443,,PMC3591859,Elsevier Publishing company,American Journal of Human Genetics,Constitutional mutations in RTEL1 cause severe dyskeratosis congenita,£2434.04
444,3567269,,Elsevier Publishing company,American Journal of Human Genetics,LRIG2 Mutations Cause Urofacial Syndrome,£3938.82
445,22898127,PMC3830178,Elsevier Publishing company,American Journal of Preventive Medicine,Physical activity and transitioning to retirement: a systematic review,£2377.65
446,23159264,PMC3834139,Elsevier Publishing company,American Journal of Preventive Medicine,Financial incentives to promote active travel: an evidence review and economic framework,£2377.65
447,,PMC3740237,Elsevier Publishing company,Analytical Biochemistry,An expression system for screening of proteins for glycan and protein interactions.,£2381.62
448,,PMC3791410,Elsevier Publishing company,Animal Behaviour,Metabolic rate and body size are linked with perception of temporal information,£1806.38
449,,PMC3763379,Elsevier Publishing company,Animal Behaviour,Faecal avoidance and selective foraging: Do wild mice have the luxury to avoid faeces?,£1816.38
450,,,Elsevier Publishing company,Applied Energy,"Associations of individual, household and environmental characteristics with carbon dioxide emissions from motorised passenger travel",£2377.65
451,,,Elsevier Publishing company,Asian Journal of Psychiatry,The explanatory models and coping strategies for alcohol use.,£2014.59
452,,PMC3683944,Elsevier Publishing company,Asian Journal of Psychiatry,Outcomes that matter: a qualitative study with persons with schizophrenia and their primary caregivers in India,£2423.27
453,,,Elsevier Publishing company,Atherosclerosis,HGF/c-Met Signaling Promotes Notch3 Activation and Human Vascular Smooth Muscle Cell Osteogenic Differentiation In Vitro,£2317.94
454,,PMC3566542,Elsevier Publishing company,Atherosclerosis,Increased expression of fatty acid binding protein 4 and leptin in resident macrophages characterises atherosclerotic plaque rupture,£2404.27
